sample_id,study,treatment
GSM370103,GSE27651,unknown
GSM370104,GSE27651,unknown
GSM370105,GSE27651,unknown
GSM370106,GSE27651,unknown
GSM370107,GSE27651,unknown
GSM370108,GSE27651,unknown
GSM370109,GSE27651,unknown
GSM370110,GSE27651,unknown
GSM370387,GSE27651,unknown
GSM370388,GSE27651,unknown
GSM370389,GSE27651,unknown
GSM370390,GSE27651,unknown
GSM370391,GSE27651,unknown
GSM370392,GSE27651,unknown
GSM370687,GSE27651,unknown
GSM370688,GSE27651,unknown
GSM370689,GSE27651,unknown
GSM370690,GSE27651,unknown
GSM370898,GSE27651,unknown
GSM370905,GSE27651,unknown
GSM370906,GSE27651,unknown
GSM371112,GSE27651,unknown
GSM371113,GSE27651,unknown
GSM371141,GSE27651,unknown
GSM371142,GSE27651,unknown
GSM371143,GSE27651,unknown
GSM371144,GSE27651,unknown
GSM371145,GSE27651,unknown
GSM371146,GSE27651,unknown
GSM371642,GSE27651,unknown
GSM371643,GSE27651,unknown
GSM371645,GSE27651,unknown
GSM371647,GSE27651,unknown
GSM371648,GSE27651,unknown
GSM371649,GSE27651,unknown
GSM371651,GSE27651,unknown
GSM371653,GSE27651,unknown
GSM371654,GSE27651,unknown
GSM371655,GSE27651,unknown
GSM371656,GSE27651,unknown
GSM372253,GSE27651,unknown
GSM372255,GSE27651,unknown
GSM372258,GSE27651,unknown
GSM372259,GSE27651,unknown
GSM372260,GSE27651,unknown
GSM372261,GSE27651,unknown
GSM372262,GSE27651,unknown
GSM372263,GSE27651,unknown
GSM372264,GSE27651,unknown
GSM898297,GSE36668,treated
GSM898298,GSE36668,treated
GSM898299,GSE36668,treated
GSM898300,GSE36668,treated
GSM898301,GSE36668,treated
GSM898302,GSE36668,treated
GSM898303,GSE36668,treated
GSM898304,GSE36668,treated
GSM898305,GSE36668,control
GSM898306,GSE36668,control
GSM898307,GSE36668,control
GSM898308,GSE36668,control
GSM1634925,GSE66957,control
GSM1634926,GSE66957,control
GSM1634927,GSE66957,control
GSM1634928,GSE66957,control
GSM1634929,GSE66957,control
GSM1634930,GSE66957,control
GSM1634931,GSE66957,control
GSM1634932,GSE66957,control
GSM1634933,GSE66957,control
GSM1634934,GSE66957,control
GSM1634935,GSE66957,control
GSM1634936,GSE66957,control
GSM1634937,GSE66957,unknown
GSM1634938,GSE66957,unknown
GSM1634939,GSE66957,unknown
GSM1634940,GSE66957,unknown
GSM1634941,GSE66957,unknown
GSM1634942,GSE66957,unknown
GSM1634943,GSE66957,unknown
GSM1634944,GSE66957,unknown
GSM1634945,GSE66957,unknown
GSM1634946,GSE66957,unknown
GSM1634947,GSE66957,unknown
GSM1634948,GSE66957,unknown
GSM1634949,GSE66957,unknown
GSM1634950,GSE66957,unknown
GSM1634951,GSE66957,unknown
GSM1634952,GSE66957,unknown
GSM1634953,GSE66957,unknown
GSM1634954,GSE66957,unknown
GSM1634955,GSE66957,unknown
GSM1634956,GSE66957,unknown
GSM1634957,GSE66957,unknown
GSM1634958,GSE66957,unknown
GSM1634959,GSE66957,unknown
GSM1634960,GSE66957,unknown
GSM1634961,GSE66957,unknown
GSM1634962,GSE66957,unknown
GSM1634963,GSE66957,unknown
GSM1634964,GSE66957,unknown
GSM1634965,GSE66957,unknown
GSM1634966,GSE66957,unknown
GSM1634967,GSE66957,unknown
GSM1634968,GSE66957,unknown
GSM1634969,GSE66957,unknown
GSM1634970,GSE66957,unknown
GSM1634971,GSE66957,unknown
GSM1634972,GSE66957,unknown
GSM1634973,GSE66957,unknown
GSM1634974,GSE66957,unknown
GSM1634975,GSE66957,unknown
GSM1634976,GSE66957,unknown
GSM1634977,GSE66957,unknown
GSM1634978,GSE66957,unknown
GSM1634979,GSE66957,unknown
GSM1634980,GSE66957,unknown
GSM1634981,GSE66957,unknown
GSM1634982,GSE66957,unknown
GSM1634983,GSE66957,unknown
GSM1634984,GSE66957,unknown
GSM1634985,GSE66957,unknown
GSM1634986,GSE66957,unknown
GSM1634987,GSE66957,unknown
GSM1634988,GSE66957,unknown
GSM1634989,GSE66957,unknown
GSM1634990,GSE66957,unknown
GSM1634991,GSE66957,unknown
GSM1634992,GSE66957,unknown
GSM1634993,GSE66957,unknown
GSM1314222,GSE54388,unknown
GSM1314223,GSE54388,unknown
GSM1314224,GSE54388,unknown
GSM1314225,GSE54388,unknown
GSM1314226,GSE54388,unknown
GSM1314227,GSE54388,unknown
GSM1314228,GSE54388,treated
GSM1314229,GSE54388,treated
GSM1314230,GSE54388,treated
GSM1314231,GSE54388,treated
GSM1314232,GSE54388,treated
GSM1314233,GSE54388,treated
GSM1314234,GSE54388,treated
GSM1314235,GSE54388,treated
GSM1314236,GSE54388,treated
GSM1314237,GSE54388,treated
GSM1314238,GSE54388,treated
GSM1314239,GSE54388,treated
GSM1314240,GSE54388,treated
GSM1314241,GSE54388,treated
GSM1314242,GSE54388,treated
GSM1314243,GSE54388,treated
